,level,yearsofexperience,yearsatcompany,distance_NY,bonus,stockgrantvalue,distance_SF,distance_seattle
0,5.0,4.0,0.0,4680488.0,10.0,220.0,110.0,1297072.0
1,4.0,2.0,2.0,4606061.0,0.0,48.0,1296231.0,798.0
2,64.0,11.0,11.0,4606061.0,23.0,28.0,1296231.0,798.0
3,26.0,10.0,5.0,4733129.0,0.0,0.0,75992.0,1349713.0
4,4.0,4.0,4.0,4680488.0,20.0,280.0,110.0,1297072.0
5,6.0,22.0,2.0,2566387.0,55.0,296.0,2714350.0,4479753.0
6,5.0,8.0,3.0,4606061.0,40.0,140.0,1296231.0,798.0
7,5.0,3.0,0.0,4606061.0,81.0,105.0,1296231.0,798.0
8,65.0,11.0,11.0,4586918.0,60.0,80.0,1305104.0,15513.0
9,6.0,10.0,0.0,2566387.0,72.0,298.0,2714350.0,4479753.0
10,5.0,3.0,1.0,4741100.0,0.0,0.0,81028.0,1359960.0
11,5.0,4.0,1.0,10007.0,10.0,145.0,4668727.0,4588148.0
12,5.0,11.0,6.0,4727625.0,0.0,0.0,48377.0,1346485.0
13,4.0,8.0,2.0,38727.0,15.0,20.0,4637777.0,4557874.0
14,4.0,7.0,1.0,4606061.0,0.0,0.0,1296231.0,798.0
15,4.0,4.0,1.0,381733.0,5.0,0.0,4510064.0,4431452.0
16,67.0,20.0,3.0,4606061.0,0.0,0.0,1296231.0,798.0
17,62.0,2.0,2.0,4584771.0,15.0,67.0,1302957.0,16830.0
18,2.0,1.0,0.0,4680488.0,0.0,23.0,110.0,1297072.0
19,65.0,9.0,2.0,4584771.0,41.0,96.0,1302957.0,16830.0
20,4.0,2.0,2.0,4680488.0,13.0,90.0,110.0,1297072.0
21,6.0,9.0,1.0,4733749.0,22.0,40.0,61440.0,1350659.0
22,3.0,3.0,0.0,4680488.0,22.0,50.0,110.0,1297072.0
23,4.0,5.0,3.0,4733749.0,20.0,40.0,61440.0,1350659.0
24,62.0,9.0,1.0,4584771.0,0.0,0.0,1302957.0,16830.0
25,65.0,9.0,1.0,4584771.0,40.0,111.0,1302957.0,16830.0
26,1.0,5.0,0.7,4606061.0,41.0,75.0,1296231.0,798.0
27,4.0,5.0,0.25,4727625.0,15.0,35.0,48377.0,1346485.0
28,3.0,0.0,0.0,4747337.0,52.0,38.0,68680.0,1366197.0
29,6.0,6.0,2.0,4606061.0,44.0,300.0,1296231.0,798.0
30,63.0,2.0,1.0,4584771.0,11.0,78.0,1302957.0,16830.0
